id,name,transliterated_name,viaf_id,wikidata_id
603,Сергей Литвинов,Sergeĭ  Litvinov,63670179,Q314664
605,Алексей Зинатулин,Alekseĭ  Zinatulin,,
607,Виктор Каган,Viktor  Kagan,36394731,Q29358965
608,Галина Усова,Halina  Usova,61425638,Q4477860
609,Анна Гальберштадт,Anna  Halʹbershtadt,'52158367693901283328',
610,Айлин Майлз,Aĭlin  Maĭlz,,
611,Эл Казовский,Ėl  Kazovskiĭ,81910305,Q456501
612,Оксана Якименко,Oksana  I͡Akimenko,,
613,Анатолий Бергер,Anatoliĭ  Berger,22550279,Q4084002
614,Елена Фролова,Elena  Frolova,,
615,Екатерина Дмитриева,Ekaterina  Dmitrieva,'73171184643447775232',Q113005023
616,Антуан Володин,Antuan  Volodin,85359312,Q2266367
617,Игорь Гулин,Igorʹ  Hulin,'21149841849202839552',
619,Валерий Кислов,Valeriĭ  Kislov,'5146284276215329792',
620,Инна Розенсон,Inna  Rozenson,,
622,Александр Мелихов,Aleksandr  Melikhov,88154193,Q4289541
623,Борис Брук,Boris  Bruk,'942154381086330322944',
624,Михаил Клочковский,Mikhail  Klochkovskiĭ,,
626,Катя Дикова,Kati͡a  Dikova,,
628,Юрий Бродский,I͡Uriĭ  Brodskiĭ,18312528,
631,Инна Игрунина,Inna  Igrunina,,
632,Софья Кочергина,Sofʹi͡a  Kochergina,,
633,Борис Констриктор,Boris  Konstriktor,304644168,Q24009815
635,Анатолий Кудревицкий,Anatoliĭ  Kudrevit͡skiĭ,,
638,Сергей Кибальник,Sergeĭ  Kibalʹnik,69173967,Q28498194
639,Алексей Машевский,Alekseĭ  Mashevskiĭ,26909367,Q4286092
641,Анна Сван,Anna  Svan,,
643,Александр Огарков,Aleksandr  Ogarkov,,
644,Ксения Куксо,Ksenii͡a  Kukso,,
645,Борис Дышленко,Boris  Dyshlenko,63956370,Q4171743
646,Виктор Мануйлов,Viktor  Manuĭlov,24714654,
647,Аркадий Бартов,Arkadiĭ  Bartov,107499914,Q4078687
649,Наталья Горбаневская,Natalʹi͡a  Horbanevskai͡a,107027694,Q439455
651,Борис Иванов,Boris  Ivanov,77648764,Q4196002
